TIMESTAMP,MAC,USER,CPU,RAM,DISCO,PROC,BATERIA,TEMP,statusCPU,statusRAM,statusDISCO,statusTEMP
2025-10-26 18:24:05,50-EB-F6-37-F1-98,guilh,57.3,52.2,69.5,303,100,69.83,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:24:19,50-EB-F6-37-F1-98,guilh,52.5,52.1,69.5,302,100,68.7,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:24:32,50-EB-F6-37-F1-98,guilh,48.0,52.0,69.5,302,100,65.93,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:24:46,50-EB-F6-37-F1-98,guilh,52.6,52.1,69.5,303,100,70.9,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:25:26,50-EB-F6-37-F1-98,guilh,63.3,51.4,69.5,304,100,73.7,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:25:39,50-EB-F6-37-F1-98,guilh,55.9,51.4,69.5,304,100,68.39,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:26:06,50-EB-F6-37-F1-98,guilh,62.4,51.4,69.5,303,100,75.95,ATENÇÃO,ATENÇÃO,CRÍTICO,CRÍTICO
2025-10-26 18:26:33,50-EB-F6-37-F1-98,guilh,61.2,51.3,69.5,302,100,72.4,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:26:59,50-EB-F6-37-F1-98,guilh,31.2,51.5,69.5,305,100,58.91,NEUTRO,ATENÇÃO,CRÍTICO,NEUTRO
2025-10-26 18:27:12,50-EB-F6-37-F1-98,guilh,55.7,51.5,69.5,305,100,70.41,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:27:25,50-EB-F6-37-F1-98,guilh,49.6,51.4,69.5,304,100,68.05,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:19,50-EB-F6-37-F1-98,guilh,48.0,51.6,69.5,303,100,64.13,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:32,50-EB-F6-37-F1-98,guilh,42.2,51.6,69.5,303,100,63.34,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:59,50-EB-F6-37-F1-98,guilh,43.3,51.6,69.5,303,100,63.05,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:29:39,50-EB-F6-37-F1-98,guilh,45.1,51.5,69.5,303,100,65.22,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:30:32,50-EB-F6-37-F1-98,guilh,31.1,51.6,69.5,303,100,56.33,NEUTRO,ATENÇÃO,CRÍTICO,NEUTRO
